CountryName,YearExclInfLab,Polyarchy,LibDem,ParticipDem,EgalDem,FreeFairElect,EqualAccess,CPIScore,CPIScoreRank,CPIScoreStdErr,EconIntelRating,SnPGloInsightsRating,WEFRating,InfLabYear,MaleInfLab,FemInfLab,TotInfLab
North Korea,2024,0.083,0.014,0.045,0.086,0.118,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2024,0.729,0.631,0.485,0.621,0.932,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kosovo,2024,0.651,0.473,0.359,0.464,0.746,0.565,0.44,73,0.02467356,NA,0.46,NA,NA,NA,NA,NA
Lebanon,2024,0.348,0.207,0.192,0.179,0.303,0.33,0.22,154,0.01080101,0.18,0.19,NA,2019,55.386,55.593,55.449
Nigeria,2024,0.502,0.315,0.337,0.295,0.363,0.593,0.26,140,0.01453927,0.18,0.19,0.15,2022,91.519,96.577,93.923
Philippines,2024,0.435,0.308,0.284,0.187,0.386,0.379,0.33,114,0.018146640000000002,0.35,0.32,0.45,NA,NA,NA,NA
Tanzania,2024,0.415,0.368,0.266,0.343,0.368,0.837,0.41,82,0.02149441,0.35,0.32,0.49,NA,NA,NA,NA
Taiwan,2024,0.8,0.7,0.621,0.695,0.936,0.772,0.67,25,0.02054458,0.67,0.72,NA,NA,NA,NA,NA
Thailand,2024,0.389,0.289,0.186,0.231,0.443,0.613,0.34,107,0.006491779,0.35,0.32,0.34,2018,64.498,65.563,64.982
Uganda,2024,0.272,0.201,0.163,0.182,0.125,0.456,0.26,140,0.01190468,0.35,0.19,NA,2021,93.14,97.397,95.206
Venezuela,2024,0.197,0.049,0.161,0.095,0.073,0.43,0.1,178,0.01266052,0.18,0.06,0.07,NA,NA,NA,NA
Benin,2024,0.501,0.329,0.287,0.394,0.648,0.835,0.45,69,0.03395473,NA,0.32,NA,2022,94.378,98.156,96.347
Bhutan,2024,0.561,0.454,0.344,0.469,0.857,0.82,0.72,18,0.01641677,NA,0.72,NA,NA,NA,NA,NA
Burkina Faso,2024,0.156,0.129,0.121,0.158,0,0.676,0.41,82,0.02299357,NA,0.46,NA,2024,91.559,96.006,93.756
Cambodia,2024,0.186,0.056,0.077,0.076,0.099,0.258,0.21,158,0.02863744,0.18,0.32,NA,2019,89.811,88.979,89.405
Indonesia,2024,0.483,0.326,0.318,0.299,0.517,0.575,0.37,99,0.0216006,0.35,0.32,0.61,2023,80.124,82.841,81.188
Mozambique,2024,0.304,0.171,0.206,0.2,0.151,0.759,0.25,146,0.02391397,0.35,0.19,NA,2015,92.657,98.392,95.673
Nepal,2024,0.669,0.522,0.427,0.428,0.719,0.807,0.34,107,0.009386821,NA,0.32,0.3,2017,77.969,87.339,81.557
Nicaragua,2024,0.153,0.019,0.094,0.087,0.146,0.173,0.14,172,0.014363820000000001,0.18,0.19,NA,2012,81.311,82.382,81.789
Niger,2024,0.24,0.18,0.2,0.221,0,0.754,0.34,107,0.02028056,NA,0.32,NA,2022,97.947,99.012,98.49
Zambia,2024,0.51,0.392,0.357,0.339,0.441,0.803,0.39,92,0.01762468,0.35,0.46,0.53,2023,80.15,88.113,83.832
Zimbabwe,2024,0.27,0.156,0.203,0.137,0.157,0.185,0.21,158,0.009126086000000002,0.18,0.19,0.27,2023,85.328,90.933,88.074
Guinea,2024,0.161,0.075,0.124,0.135,0,0.55,0.28,133,0.0113146,NA,0.32,NA,NA,NA,NA,NA
Ivory Coast,2024,0.432,0.251,0.293,0.271,0.391,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,2024,0.333,0.135,0.226,0.153,0.283,0.26,0.3,130,0.022922500000000002,NA,0.32,NA,2019,88.158,91.702,89.355
Canada,2024,0.842,0.744,0.585,0.63,0.937,0.845,0.75,15,0.019500740000000003,0.83,0.72,0.6,NA,NA,NA,NA
Australia,2024,0.857,0.808,0.637,0.731,0.962,0.85,0.77,10,0.016719440000000002,0.83,0.85,0.62,NA,NA,NA,NA
Botswana,2024,0.594,0.478,0.334,0.426,0.611,0.644,0.57,43,0.024061979999999997,0.67,0.72,0.53,2023,78.685,73.233,76.137
Burundi,2024,0.175,0.072,0.107,0.091,0.071,0.457,0.17,165,0.03365426,NA,0.19,NA,2014,97.394,99.054,98.305
Cape Verde,2024,0.757,0.649,0.459,0.57,0.839,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,2024,0.302,0.1,0.137,0.13,0.16,0.65,0.24,149,0.01565208,NA,0.19,NA,NA,NA,NA,NA
Chile,2024,0.844,0.787,0.594,0.641,0.959,0.816,0.63,32,0.02296134,0.67,0.59,0.58,2024,26.093,29.29,27.465
Costa Rica,2024,0.859,0.805,0.604,0.76,0.94,0.908,0.58,42,0.030764450000000002,0.67,0.59,0.43,2024,36.867,38.165,37.376
Timor-Leste,2024,0.733,0.549,0.455,0.465,0.842,0.666,0.44,73,0.05120092,NA,0.32,NA,2021,78.592,83.56,80.586
Ecuador,2024,0.651,0.446,0.504,0.309,0.829,0.521,0.32,121,0.02339157,0.35,0.32,0.17,2024,67.068,70.868,68.633
France,2024,0.866,0.799,0.605,0.728,0.946,0.913,0.67,25,0.01611189,0.67,0.59,0.66,NA,NA,NA,NA
Germany,2024,0.839,0.792,0.596,0.769,0.956,0.94,0.75,15,0.013578,0.83,0.72,0.63,NA,NA,NA,NA
